,WORD,MEANINGS,SIMILAR WORDS,OTHERS,OTHERS
,-는 길에,Chỉ quá trình đang đi đâu/đến đâu thực hiện hành động này thì kết hợp thực hiện hành động khác. => Đang làm gì đó/ đi đâu đó thì...,-다가,-는 길에,"Chỉ quá trình đang đi đâu/đến đâu thực hiện hành động này thì kết hợp thực hiện hành động khác. => Đang làm gì đó/ đi đâu đó thì...
-----
-다가"
,-(으)ㄹ 뿐이다,"Chỉ sự duy nhất => Chỉ, chỉ là","-만
-에 불과하다
-에 지나지 않다",-(으)ㄹ 뿐이다,"Chỉ sự duy nhất => Chỉ, chỉ là
-----
-만
-에 불과하다
-에 지나지 않다"
,-았/었어야 했는데,Chỉ sự tiếc nuối về sự việc đã xảy ra trong quá khứ (đáng lẽ ra phải làm gì đó nhưng thực tế đã không thực hiện) => Đáng nhẽ ra/ lẽ ra phải ... Chỉ kế hoạch/dự định đang định thực hiện,"-았/었을 텐데
-(으)ㄹ걸 그랬는데",-았/었어야 했는데,"Chỉ sự tiếc nuối về sự việc đã xảy ra trong quá khứ (đáng lẽ ra phải làm gì đó nhưng thực tế đã không thực hiện) => Đáng nhẽ ra/ lẽ ra phải ... Chỉ kế hoạch/dự định đang định thực hiện
-----
-았/었을 텐데
-(으)ㄹ걸 그랬는데"
,-(으)려고 참이다,Chỉ kế hoạch/dự định đang định thực hiện => Đang định V thì ...,-(으)려고 하다,-(으)려고 참이다,"Chỉ kế hoạch/dự định đang định thực hiện => Đang định V thì ...
-----
-(으)려고 하다"
,-기 위해서,Chỉ mục đích (nhấn mạnh vào hành động về sau) => Để V,"-려고
-고자",-기 위해서,"Chỉ mục đích (nhấn mạnh vào hành động về sau) => Để V
-----
-려고
-고자"
,-는 대로,Chỉ cách thức được đề cập trước đó => Theo như..,"-는 것처럼
-는 것과 같이",-는 대로,"Chỉ cách thức được đề cập trước đó => Theo như..
-----
-는 것처럼
-는 것과 같이"
,-에 달려 있다,"Chỉ điều kiện tùy thuộc vào nội dung phía trước => Tùy vào, tùy thuộc vào",-기 나름이다,-에 달려 있다,"Chỉ điều kiện tùy thuộc vào nội dung phía trước => Tùy vào, tùy thuộc vào
-----
-기 나름이다"
,-(으)ㄹ지도 모르다,Chỉ sự phỏng đoán về một khả năng nào đó có thể xảy ra => Chưa biết chừng,-(으)ㄹ 수(도) 있다,-(으)ㄹ지도 모르다,"Chỉ sự phỏng đoán về một khả năng nào đó có thể xảy ra => Chưa biết chừng
-----
-(으)ㄹ 수(도) 있다"
,-(으)ㄹ 만하다,Chỉ việc nào đó đáng để làm => Dáng để V,-(으)ㄹ 수 있다,-(으)ㄹ 만하다,"Chỉ việc nào đó đáng để làm => Dáng để V
-----
-(으)ㄹ 수 있다"
,-은/는커녕,Chỉ sự bao hàm mang tính phủ định => Đến cả N1/V1 còn không ... huống hồ/ nói gì/nói chi đến N2/V2”,"-는 고사하고
-N 은/는 물론이고 + PĐ
-N 은/는 말할 것도 없다",-은/는커녕,"Chỉ sự bao hàm mang tính phủ định => Đến cả N1/V1 còn không ... huống hồ/ nói gì/nói chi đến N2/V2”
-----
-는 고사하고
-N 은/는 물론이고 + PĐ
-N 은/는 말할 것도 없다"
,-(으)ㄴ/는 척하다,"Chỉ sự tỏ vẻ, ra vẻ, giả bộ, giả vờ => Ra vẻ/tỏ vẻ/giả vờ như ...","-는 체하다
-는 것처럼 행동하다",-(으)ㄴ/는 척하다,"Chỉ sự tỏ vẻ, ra vẻ, giả bộ, giả vờ => Ra vẻ/tỏ vẻ/giả vờ như ...
-----
-는 체하다
-는 것처럼 행동하다"
,-다가 보니까,Chỉ hành động mang tính chất lặp lại thường xuyên/liên tục nên dẫn đến một trạng thái hay kết quả nào đó (thể hiện tính trải nghiệm) => Cứ làm gì/ cứ như thế nên ...,-는 탓에,-다가 보니까,"Chỉ hành động mang tính chất lặp lại thường xuyên/liên tục nên dẫn đến một trạng thái hay kết quả nào đó (thể hiện tính trải nghiệm) => Cứ làm gì/ cứ như thế nên ...
-----
-는 탓에"
,-듯이,"Chỉ sự so sánh, ví von => Như thể ..",-는 것 처럼,-듯이,"Chỉ sự so sánh, ví von => Như thể ..
-----
-는 것 처럼"
,-(으)ㄴ/는 반면에,"Chỉ sự đối lập giữa 2 về => Ngược lại, trái lại",-은/ㄴ데 반해,-(으)ㄴ/는 반면에,"Chỉ sự đối lập giữa 2 về => Ngược lại, trái lại
-----
-은/ㄴ데 반해"
,-(으)면서(도),"Chỉ sự đồng thời, song hành của 2 hành động/ trạng thái => Và, vừa... vừa, như thế nào đó rồi mà còn...",-고서도,-(으)면서(도),"Chỉ sự đồng thời, song hành của 2 hành động/ trạng thái => Và, vừa... vừa, như thế nào đó rồi mà còn...
-----
-고서도"
,-(으)ㄴ/는데(도),Chỉ sự đối lập/tương phản giữa 2 vế câu về mặt ý nghĩa => Ngay cả khi V/A Nhưng ...,-지만,-(으)ㄴ/는데(도),"Chỉ sự đối lập/tương phản giữa 2 vế câu về mặt ý nghĩa => Ngay cả khi V/A Nhưng ...
-----
-지만"
,-(으)ㄴ/는가 하면,Chỉ sự đối lập giữa 2 vế => Nếu ... thì cũng sẽ ...,-기는 하지만,-(으)ㄴ/는가 하면,"Chỉ sự đối lập giữa 2 vế => Nếu ... thì cũng sẽ ...
-----
-기는 하지만"
,-든지,Chỉ sự lựa chọn dù thế nào thì cũng không ảnh hưởng gì => Dù .... hay ... thì cũng được,-더라고,-든지,"Chỉ sự lựa chọn dù thế nào thì cũng không ảnh hưởng gì => Dù .... hay ... thì cũng được
-----
-더라고"
,-도록,"Chỉ đạt đến mức độ nào đó về thời gian => Đến lúc, đến khi ...",-(으)ㄹ 때까지,-도록,"Chỉ đạt đến mức độ nào đó về thời gian => Đến lúc, đến khi ...
-----
-(으)ㄹ 때까지"
,-(ㄴ/는)다기에/길래,Chỉ lý do dưới dạng thông tin => Vì nghe nói/ vì thấy bảo là ... nên...,-다고 해서,-(ㄴ/는)다기에/길래,"Chỉ lý do dưới dạng thông tin => Vì nghe nói/ vì thấy bảo là ... nên...
-----
-다고 해서"
,-(으)려면,Chỉ sự giả định (nếu có mục đích làm gì) => Nếu muốn ...,"-기 위해서 
-고 싶으면
-려거든
-자면",-(으)려면,"Chỉ sự giả định (nếu có mục đích làm gì) => Nếu muốn ...
-----
-기 위해서 
-고 싶으면
-려거든
-자면"
,-아/어 보이다,Chỉ sự phán đoán mang tính chủ quan (căn cứ vào những gì nhìn được từ bề ngoài và đưa ra phán đoán) => Nhìn / trông có vẻ ...,-(으)ㄴ/는 것 같다,-아/어 보이다,"Chỉ sự phán đoán mang tính chủ quan (căn cứ vào những gì nhìn được từ bề ngoài và đưa ra phán đoán) => Nhìn / trông có vẻ ...
-----
-(으)ㄴ/는 것 같다"
,-(으)ㄹ 리가 없다,"Chỉ sự suy đoán có tính chắc chắn cao =>Không có lẽ nào/lý nào,không thể nào ...","-(으)ㄹ 리 만무하다
-(으)ㄹ 턱이 없다
-지 않았을 것이다",-(으)ㄹ 리가 없다,"Chỉ sự suy đoán có tính chắc chắn cao =>Không có lẽ nào/lý nào,không thể nào ...
-----
-(으)ㄹ 리 만무하다
-(으)ㄹ 턱이 없다
-지 않았을 것이다"
,-기만 하다,Chỉ hành động/trạng thái nào đó mang tính cố định => Cứ/hễ/mỗi khi ... thì ...,-(으)ㄹ 때마다,-기만 하다,"Chỉ hành động/trạng thái nào đó mang tính cố định => Cứ/hễ/mỗi khi ... thì ...
-----
-(으)ㄹ 때마다"
,-(으)ㄴ채(로),Chỉ hành động nào đó diễn ra và vẫn duy trì nguyên trạng thái của hành động đó. => Làm gì và cứ để y nguyên ...,-고,-(으)ㄴ채(로),"Chỉ hành động nào đó diễn ra và vẫn duy trì nguyên trạng thái của hành động đó. => Làm gì và cứ để y nguyên ...
-----
-고"
,-고도,Chỉ sự tương phản mang tính nhượng bộ => Dù/mặc dù/cho dù ... nhưng ...,-는데도,-고도,"Chỉ sự tương phản mang tính nhượng bộ => Dù/mặc dù/cho dù ... nhưng ...
-----
-는데도"
,-(으)ㄴ/는 줄 몰랐다,"Chỉ sự phán đoán, có khả năng nào đó => Chưa biết chừng/biết đâu chừng ..","있는 줄 몰랐다
=> 없다고 생각했다",-(으)ㄴ/는 줄 몰랐다,"Chỉ sự phán đoán, có khả năng nào đó => Chưa biết chừng/biết đâu chừng ..
-----
있는 줄 몰랐다
=> 없다고 생각했다"
,-(으)ㄴ 나머지,Chỉ lý do (đổ lỗi do tại sự việc nào đó) => Vì/do/tại quá ... mà ...,"-(으)ㄴ 탓에
-(으)ㄴ통에",-(으)ㄴ 나머지,"Chỉ lý do (đổ lỗi do tại sự việc nào đó) => Vì/do/tại quá ... mà ...
-----
-(으)ㄴ 탓에
-(으)ㄴ통에"
,-기 십상이다,Chỉ việc rất dễ dẫn đến trạng thái hành động nào đó. => Dễ ...,- 기 쉽다,-기 십상이다,"Chỉ việc rất dễ dẫn đến trạng thái hành động nào đó. => Dễ ...
-----
- 기 쉽다"
,V-다시피,Chỉ việc làm giống/gần giống như hành động ở vế trước (nhưng thực tế không phải như thế)=> Gần như là/giống như là V,V-는 바와같이,V-다시피,"Chỉ việc làm giống/gần giống như hành động ở vế trước (nhưng thực tế không phải như thế)=> Gần như là/giống như là V
-----
V-는 바와같이"
,-곤하다 -,Chỉ việc thường làm gì => Thường (thường xuyên làm gì),- 기 일쑤이다 (thường xuyên làm gì),-곤하다 -,"Chỉ việc thường làm gì => Thường (thường xuyên làm gì)
-----
- 기 일쑤이다 (thường xuyên làm gì)"
,-(으)ㄹ게 뻔하다,"Chỉ việc chắc chắn làm gì đó => V là điều chắc chắc, không sai được.",-(으)ㄹ게 틀림없다,-(으)ㄹ게 뻔하다,"Chỉ việc chắc chắn làm gì đó => V là điều chắc chắc, không sai được.
-----
-(으)ㄹ게 틀림없다"
,-는 김에,"Chỉ việc nhân tiện làm gì thì làm gì => Nhân tiện, tiện thể ...","-(으)ㄹ 겸 (kiêm làm gì) 
-는 길에 (tiện đường)",-는 김에,"Chỉ việc nhân tiện làm gì thì làm gì => Nhân tiện, tiện thể ...
-----
-(으)ㄹ 겸 (kiêm làm gì) 
-는 길에 (tiện đường)"
,- 는 중에,Chỉ việc làm gì trong quá trình làm gì đó. => Trong khi… thì ...,- 는 가운데: Trong lúc,- 는 중에,"Chỉ việc làm gì trong quá trình làm gì đó. => Trong khi… thì ...
-----
- 는 가운데: Trong lúc"
,-다가보면,Chỉ việc cứ làm gì đó nhiều (thường xuyên/liên tục) thì sẽ đến lúc như nào đó (kết quả có sự thay đổi) => Cứ ... nhiều/liên tục thì sẽ ...,"-노라면
-느라면",-다가보면,"Chỉ việc cứ làm gì đó nhiều (thường xuyên/liên tục) thì sẽ đến lúc như nào đó (kết quả có sự thay đổi) => Cứ ... nhiều/liên tục thì sẽ ...
-----
-노라면
-느라면"
,-(으)ㄹ 바에야,Chỉ việc nếu phải làm cái trước thà rằng làm cái sau hơn => Thà rằng/thà là V2 còn hơn V1,-느니 + (차라리),-(으)ㄹ 바에야,"Chỉ việc nếu phải làm cái trước thà rằng làm cái sau hơn => Thà rằng/thà là V2 còn hơn V1
-----
-느니 + (차라리)"
,-(으)ㄴ 후에,Sau khi V1 thì V2 (= V2 sau khi V1) => Sau khi ...,"-고서야
-고야",-(으)ㄴ 후에,"Sau khi V1 thì V2 (= V2 sau khi V1) => Sau khi ...
-----
-고서야
-고야"
,-(으)ㄹ 나위가 없다,"Chỉ việc (hài lòng đến mức) không còn gì hơn, không cần phải ... => ... không còn gì hơn V/ không cần phải V nữa",-(으)ㄹ 필요가 없다,-(으)ㄹ 나위가 없다,"Chỉ việc (hài lòng đến mức) không còn gì hơn, không cần phải ... => ... không còn gì hơn V/ không cần phải V nữa
-----
-(으)ㄹ 필요가 없다"
